voter,choice,proposal,created
0xE9dF41eAD054F9a8E6Fe24A25071A3B571cB6446,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638300576
0xa00685C1e5dcC40Cf6b70f254C50A81774Da31dc,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638297677
0x4281579D99d855F2430C95a13720e53a0fCC0549,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638296630
0x27E5E6074e259d98d6468454C32673E0e6f354ce,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638292230
0xF3DD72AC3c9833574491861793e8fFe1f07c8905,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638290118
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638282663
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638274712
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638274682
0xc15c75955f49EC15A94E041624C227211810822D,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638271355
0xc15c75955f49EC15A94E041624C227211810822D,2,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638271316
0xa5cA469103c502c5137AfD926a644253fE5FB73e,2,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638271265
0xa5cA469103c502c5137AfD926a644253fE5FB73e,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638271239
0x68FE88060ac8772d9ec7F40deb535c4873260F8A,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638239297
0x68FE88060ac8772d9ec7F40deb535c4873260F8A,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638239265
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638237752
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638230809
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638228466
0x49e2a5Af17fb2b37a0FF460217dC7A9FF4F34f90,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638224831
0x49e2a5Af17fb2b37a0FF460217dC7A9FF4F34f90,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638224778
0xE5A3D77D7788A83f3549dD7F08Fc2aCed7E262d2,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638218072
0xC43D49a247923F1C7837c806a1eEaa1891387f75,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638214726
0xC43D49a247923F1C7837c806a1eEaa1891387f75,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638214688
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638214669
0xC43D49a247923F1C7837c806a1eEaa1891387f75,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638214557
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638213737
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638213576
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638210427
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638210328
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638210256
0xe307e911991ED5Df44920E648245C49573E6F779,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638202858
0xe307e911991ED5Df44920E648245C49573E6F779,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638202816
0xe307e911991ED5Df44920E648245C49573E6F779,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638202499
0xFB9e5F5874565A6eF8FCF1DEbc4975501331a8Ca,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638202142
0xFB9e5F5874565A6eF8FCF1DEbc4975501331a8Ca,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638201875
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638200707
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638200555
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638199364
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638194104
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638194012
0x461F635488972409981EDbD043834dbaA7239FA6,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638188764
0x5e01f5ce73fcB34B51592F4138A38c7d51e10362,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638185954
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638182248
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638182113
0x8a1ec127978bCC7499b2A188Df2Bd1810F522Ac7,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638181907
0x8a1ec127978bCC7499b2A188Df2Bd1810F522Ac7,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638181783
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638180072
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638180000
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,3,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638177597
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638177217
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638176054
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638175972
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638175857
0x9A456152E0Da127C30a49357A461f4c3F80bd630,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638171716
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638171294
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638171224
0xAB14a078201f92918674206bFd803F34b9C1a0Bb,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638169871
