address,amount
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,2552138816155465491830
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,1679007089404866238860
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,663405567918064634915
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,638889904377884482444
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,160490048447434727234
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,307600283962455354087
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,69052153690705634580
0x0810C422E4abD05c752618B403d26cf60bB50B5C,5319160264382522497960
0x08B48e886349a289da156515083c119962395055,69182478273466068388
0x0C76E22f480c55f31bf6f937517Fca0f45804306,750785959744221306767
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,32977636859721157163
0x111cD92405B1Dfbd19882D361418F49D99d8FED8,2101761378010383346213
0x1146f36Cf74fBB2971DcDA652d0a3f4289a39d53,150118306424391630503
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,276381621208365410027
0x15579f74c1B93B573C0a4d865011EC68f909FD02,289437537124726124951
0x16765c8Fe6Eb838CB8f64e425b6DcCab38D4F102,15485027204116929357991
0x1754352eacb753327Fec2d4F48f0fb36B672C5e0,15012581271502738187239
0x17e33637f6B64E9082Ea499481b6e6EbAE7EEA23,21032626361375336200321
0x18F23C3b96918518235136920F39Cb833B113F00,1962144372185407881
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,139523960311921039201
0x198ca1beaCF70b82c4e6dE21E8Cb7b6dA6D8477A,850561534621106642925
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,2649689309161762458606
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,381781951799331834292
0x1A1087Bf077f74fb21fD838a8a25Cf9Fe0818450,283110260134252937282
0x1b50afeD405C9930eAe5fb3803418b03F9615B1C,2478078134281198068436
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,4555690890003932225370
0x1D40cF4C11BdC78515E121f694C479F1bdA4696d,29583244306617639291
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,1241935324169245439555
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,909234817298979940087
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,930780038833169767608
0x2067BEd542762D26E2755Ce7d8776728F3429f48,750629063575136909361
0x21210E9f52300880E61D0fD0D08d1b882a6369f9,15012581271502738187239
0x215C44804627920a72692b20c6DC80deBa946cF2,1219512510653600480342
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,110362258091183065194
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,434539164903646756829
0x22e81335f9D4A609DF42f56ba5B583f565995296,7506391125339817847781
0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,691848802864695088263
0x2346B18e56010272035e8eA7CF4C757Fc4E3f46a,1080514023177010928014
0x2437Db820DE92d8DD64B524954fA0D160767c471,726847093120672947615
0x27E5E6074e259d98d6468454C32673E0e6f354ce,588212606530466265713
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,4416871573731663252052
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,45037743814508214561
0x2eA8E4c3768FDb6677548F8AF2FfDAA0BaC630BA,194798750804638079896
0x2EC8db4C68717b9101578a3760cD70D859587b43,87923869468603385183
0x303e62Da5454c9932EFCBfE5002922f3A98F34a2,131440466633913181527
0x3070f20f86fDa706Ac380F5060D256028a46eC29,150125812715027381872
0x3170606aDd67Ee893d23E4aEe79c1A4997ce635a,167684032841244135894
0x32F41B50f8d569f22DFFeDc0F17210fb49350784,1044675820282821080429
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,225724067720682860452
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,531292032870369073788
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,4504925846434345716190
0x4188c45B8dfC8998Ceee2398e746deC2797B0961,22518871907254107280858
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,59820812743532218887
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,4413698893821805027048
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,44894387486021071372
0x4281579D99d855F2430C95a13720e53a0fCC0549,71309761039638006389385
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,1411182639521257389600
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,55836572420700758227
0x43050429EA94452b611bF09013A246179DcB3c57,45030237523872463192
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,133139498444682827777
0x4539f999Feeae247BDE0EcBb406f70EdF56e576B,34393692422877624505
0x461F635488972409981EDbD043834dbaA7239FA6,90075487629016429123434
0x477c8ece9393713D258169Aa50cDaF27E422214d,563323280154730096853
0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,3070596123508750701445
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1394325372772192943259
0x4998976bDd0E873b586843b9EEb5d58a4E3B78a4,1750902341114092852039
