voter,choice,proposal,created
0x7E938881C1b33af6E774b27908B32F28D5B35b9C,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635719552
0x7E938881C1b33af6E774b27908B32F28D5B35b9C,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635719441
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635713789
0x974Eaf2BF3514674E87b8664D7b53896704cc322,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635712616
0xa2f696958A5e023014620687f1D34755c707E5D1,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635702282
0xa2f696958A5e023014620687f1D34755c707E5D1,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635702129
0x5C7a20b1EFa9A2aB5F448b651Aa264F233076C4C,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635701508
0xcfF7303b8E08403438c751bF21c04771252fA413,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635701413
0xcfF7303b8E08403438c751bF21c04771252fA413,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635701361
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635697366
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635697336
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635695359
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635694960
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635691719
0x9309026ae5f4c5ea1D6B5812C49C14DacB35211b,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635691646
0x542256Ef33279C5545AA71f4b3B6298990f30Ffc,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635685346
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635676309
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635665755
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635665346
0xd5CBdcC1a7861CF886621162c20A72E9C4121038,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635664761
0x43050429EA94452b611bF09013A246179DcB3c57,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635655387
0x43050429EA94452b611bF09013A246179DcB3c57,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635655292
0x9064Fe489B444393EA2Ae8d24FE21f00557b3eAb,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635655153
0x9064Fe489B444393EA2Ae8d24FE21f00557b3eAb,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635655007
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635650001
0x89d2D4934ee4F1f579056418e6aeb136Ee919d65,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635638675
0x89d2D4934ee4F1f579056418e6aeb136Ee919d65,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635638619
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635635523
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635635428
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635630660
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635630620
0x9cA10fe0cCc43d8464e91938E56411e6eCFb8e2d,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635621478
0xc1f480389B9B7c5471B48F910657F5e08687B763,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635607282
0xc1f480389B9B7c5471B48F910657F5e08687B763,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635601317
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635599566
0xB05136FAcE3F8c6f9e6CDb076a38Ee6D4910f6d4,3,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635590553
0xB05136FAcE3F8c6f9e6CDb076a38Ee6D4910f6d4,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635590484
0xa00685C1e5dcC40Cf6b70f254C50A81774Da31dc,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635589328
0xAC3c2F091eDEA973F666173b3eBd242A80FE411c,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635582416
0xAC3c2F091eDEA973F666173b3eBd242A80FE411c,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635582383
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635575532
