voter,choice,proposal,created
0xBa74e6E09B2Ae7470a67dceF71846216C83CF36F,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635441873
0xBa74e6E09B2Ae7470a67dceF71846216C83CF36F,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635441846
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635440236
0xEeaA36420519d85EfaB3b7120ac5Afa5a5825bFB,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635428313
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635423388
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635423353
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635423301
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,2,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635417420
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635417387
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635417365
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,1,{'id': 'QmWnu4hqF2x5uyydWGSXzBmLEiVivXZWLLsh1DHFpjEeQC'},1635416781
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,3,{'id': 'Qmc6ucVT1XQArcKQLRKmzFqoXkXHpnSJgjD9inCSUb2c8X'},1635416733
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635416662
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635416618
0xE4014Fd584388AE6191Eb22E07811E1E5da9838b,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635415124
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635392883
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635392852
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635392802
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,2,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635384417
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635383650
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635383587
0x27E5E6074e259d98d6468454C32673E0e6f354ce,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635383138
0xC07EF9FDa2d42a7757172f6A7CDa2a63599591ED,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635380693
0x215C44804627920a72692b20c6DC80deBa946cF2,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635374108
0x215C44804627920a72692b20c6DC80deBa946cF2,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635374056
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635367056
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635366860
0xD63E2Af499327DC60bB06948a9c1f72bE633a2B6,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635335249
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635329430
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635329404
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635325898
