address,amount
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,990942647138252960964
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,1292091442242399427019
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,48062893040844056550
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,380156944762235947695
0x0810C422E4abD05c752618B403d26cf60bB50B5C,1254681894538109516300
0x0C76E22f480c55f31bf6f937517Fca0f45804306,266707301989809961561
0x111cD92405B1Dfbd19882D361418F49D99d8FED8,495762830326229683750
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,79956797127971330530
0x16765c8Fe6Eb838CB8f64e425b6DcCab38D4F102,4408154780627423276639
0x17e33637f6B64E9082Ea499481b6e6EbAE7EEA23,5524958900379727324264
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,172434829350747191630
0x198ca1beaCF70b82c4e6dE21E8Cb7b6dA6D8477A,526625293034330996500
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,733102198174296125944
0x1b50afeD405C9930eAe5fb3803418b03F9615B1C,685873998387839185685
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,1903250788483714660034
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,345681702395514104005
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,254120963309263083240
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,219552110573044574232
0x2067BEd542762D26E2755Ce7d8776728F3429f48,177058153687939172767
0x21210E9f52300880E61D0fD0D08d1b882a6369f9,3541163073758783455357
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,136394473738933186471
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,102498965169947987115
0x22e81335f9D4A609DF42f56ba5B583f565995296,1770605240332747042993
0x2437Db820DE92d8DD64B524954fA0D160767c471,280481689865957145244
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,1432916779153115794560
0x3070f20f86fDa706Ac380F5060D256028a46eC29,35411630737587834553
0x32F41B50f8d569f22DFFeDc0F17210fb49350784,1291093632911514460209
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,114858771201943939414
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,1062620529335392335298
0x4188c45B8dfC8998Ceee2398e746deC2797B0961,5311744610638175183036
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,73931327737495728426
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,1041101943685082335875
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,332869328933325644803
0x461F635488972409981EDbD043834dbaA7239FA6,21246978442552700732145
0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,3794887396964593419265
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1080435530933024861775
0x4998976bDd0E873b586843b9EEb5d58a4E3B78a4,571548943036396940520
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,1444612460490600844537
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,797727980080602441589
0x52876dAFDc67238390477Bb2403BdC8021944ddc,457295529972295394952
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,44982809960464293471
0x5b0D3243c78fB9d4AC035fB2384FFdf7A9eF6396,879251456412075992843
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,44728148483474353081
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,150224990496531991134
0x5E03b07aE157EE1CA5BF2F3CBE5BC8dc38F3e965,182157428514151820943
0x64B7fcC8C17540139BDd84d00c7261035602Cb66,4175135777393103318483
0x65B0F840ea292fc284C23Fc839e65b3951d46195,52638082402250099072
0x66d0E180af64fb368679F91765Affc99174396AC,209546801510121011841
0x67017BEbE2A4B8645B28F83D5D472618b35a1230,1123165756935882421851
0x68FE88060ac8772d9ec7F40deb535c4873260F8A,7082326147517566910715
0x6A5170a1987eeC647868B6B71C550063f2a4779C,158865623531421684236
0x6AD7baBfdC153ec9dDC78b49523f33FFaD4f3631,12938640376778666962231
0x6E1C5ACbAbaF0B3c73D4412c17C40D2F1D2e183b,912295144940536308012
0x73Cbc02516f5F4945cE2F2fACf002b2c6aA359e7,831398900935095047277
0x758C5366c1C681E102C469C342EDcc8807AE0060,105458800003921923767
0x79939118Ef2af99E20310eCC5CCC0E9697d390FC,7659548435340373605173
0x7c2848826de6bA917FdCA23cCf5c2C3e1CB031f6,250475548661030542174
0x7ccf173012bfE53F16F4D6A2a4aea32abAfcD04C,640251350400811836288
0x7Cfed2A2d4a98680daC6aA55120f5AF2EC562EbD,3688659531651241158000
0x7E938881C1b33af6E774b27908B32F28D5B35b9C,212469784425527007321
0x8061199A31983A077E691C08B2263a4CF5c24093,1788118966649013674456
0x80658E3657882cFa73fff0eb20c92Aa5E948230C,2651009226069894654198
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,1062734200670059992247
0x82703281e7ff09CD2492Ddb6B8c5Fa645efDA819,921893957186038874032
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,3428647567636075225842
0x84bcfa8Fe160b271dc49B1Fb263ad995e0C2c1dF,3541163073758783455357
0x854f18D14E09Af41AA458A9DF7aa5Bd0cd3BE7E6,2478814151631148418750
0x8e2540edfA7410B6f32f54D4cBF715Acfe2F2e5B,552530709375228085177
0x8f9f865Aafd6487C7aC45a22bbb9278f8fc06d47,1376624448199740158317
