address,amount
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,17000000000000000000000
0x00ba3ca0b6df1486c912893d9f288311a60ed753,27983536100934556390767
0x00c67d9d6d3d13b42a87424e145826c467cccd84,17753654978024306179980
0x00f4996324943d7e8497ce6a1cf88969a0b08a24,14876483592402338118436
0x01298d8c3c581744a7985d91dea5fbcb9f4f58ec,12348473358968280013601
0x01e6fd0ae73d9194b19f9b376065577927a0d5f5,7204387866622841793342
0x0252d89c8781b88858d5a2dbb8b9cf613f84917d,1548575015108386000000
0x026247030937744c72544556faa78edbea487265,16790994328678296867772
0x037dfd569defbc08ae28001159b4c49f6d006cff,2802093990524966000000
0x03c65618d9ca830d9099b66ba6bd52a3b0344f82,2655948403033360014655
0x0430605323465e26dc21fbaaa9a1a4be6ae9d496,2829230528686119112674
0x05553ba4d6c81d877543a168e3238c07978cc083,2855154896440280000000
0x0810c422e4abd05c752618b403d26cf60bb50b5c,52098010333333330000000
0x086da66f045edc6238e762634680e2a4fd6ea17f,4493244654515895316221
0x08b48e886349a289da156515083c119962395055,460830000000000000000
0x0c76e22f480c55f31bf6f937517fca0f45804306,8092841579333477094158
0x0cca4e5fd4f2ec0bec7b246e1d1865524a49e1b9,219666666666578800000
0x0d4b669675af57c8db631263731de924f45e895e,16118889165467724389059
0x0eb05d820690d5431e77da717db825afd83c9077,95991666666628270000
0x111cd92405b1dfbd19882d361418f49d99d8fed8,14000000000000000000000
0x1146f36cf74fbb2971dcda652d0a3f4289a39d53,1416616666666500000000
0x124c5e21a073fb4694308fbdf72af362451eae12,890304353644063916625
0x139776871ee95f55d20b10d9ba5a0385451066cd,1495520856840636576045
0x14b30b46ec4fa1a993806bd5dda4195c5a82353e,2533500848697123000000
0x15579f74c1b93b573c0a4d865011ec68f909fd02,2534391751715316101211
0x16765c8fe6eb838cb8f64e425b6dccab38d4f102,124483247136889620238994
0x1754352eacb753327fec2d4f48f0fb36b672c5e0,100000000000000000000000
0x17e33637f6b64e9082ea499481b6e6ebae7eea23,156021024316037354229890
0x18f23c3b96918518235136920f39cb833b113f00,13070000000000000000
0x1959b5efb8fdd52c688c1d685ad8f3d82ea27b01,929380216424000000000
0x198ca1beacf70b82c4e6de21e8cb7b6da6d8477a,14871534636086166261794
0x19a61e7238270ca99f931c08d7bcff1984f38ae4,22643547171288714668649
0x19dd92c9a9c4eb6f0426846c4f8a071a7b79209a,2543080000000000000000
0x1a1087bf077f74fb21fd838a8a25cf9fe0818450,2310216965390609000000
0x1b50afed405c9930eae5fb3803418b03f9615b1c,21214763617017197752360
0x1c1a631450ff768b6355180538a5c09ee9774f34,999950000000000000000
0x1ca4c34b18ecf1df4ba7e2ae0ec1fc5960c349d9,54999999185462851872366
0x1d0dec082d0e6f07dc34aa17c0b55d630f0704a5,429166666666495000000
0x1d40cf4c11bdc78515e121f694c479f1bda4696d,197056347416904929823
0x1de4f046c45cd4e39cfcdf36b7df4856b4031955,15116658074528976615024
0x1ec289bd5f002b7969887b8e18a1625052a67d0d,8609292507730891927356
0x1f540e4d3211d393c31fa343cffd080d9b11b29e,8600000000000000000000
0x1f9b4f7a0605e4574562938cbdbfdffe8605d4e2,6200000000000000000000
0x2067bed542762d26e2755ce7d8776728f3429f48,5000000000000000000000
0x21210e9f52300880e61d0fd0d08d1b882a6369f9,100000000000000000000000
0x215c44804627920a72692b20c6dc80deba946cf2,8123270000000000000000
0x21f35f686f4e907a1a46d67fe506e9f2a1ef64d0,735131794428154053170
0x22be1f5e8544e71a390ced1b6a82b477b1127ce5,2894500000000000000000
0x22e81335f9d4a609df42f56ba5b583f565995296,50000669369155319785296
0x22ef6d99f400cac50ceab09e6ac3ae6882ba0b6c,4608460000000000000000
0x2346b18e56010272035e8ea7cf4c757fc4e3f46a,9210367330996266174443
0x2437db820de92d8dd64b524954fa0d160767c471,9222221392132290241876
0x2459d93923cc940e3aa1935ead83ef8011534bb1,149947831023911055769
0x27e5e6074e259d98d6468454c32673e0e6f354ce,3918131038844241436482
0x280ded1b7e430bed0cbb0aace452fd2adef2b581,491081170815575849823
0x28579946078515c7c6abcc57f3e1088fbf63b0d5,115239400000000000000
0x286fa98383c81623d918ef58ba0a5ede6eb67a54,1017484147348674930011
0x2b285e1b49ba0cb6f71d8b0d9cafdfbf9868fda9,46605873679247704678871
0x2b614ecc9e91af9d056eb8acccf5d9928a7cf4f7,300000000000000000000
0x2c9139d5ec9206bd779a71ecdb927c8cd42e9639,314160354131172978360
0x2dca7bf37c703e685b8ffc2985f6ee6c96a3f9ed,31178965725870927244130
0x2e6a4c895e3a466f86cc00d9f8b33a1eece3fc5a,1100000000000000000000
0x2ea8e4c3768fdb6677548f8af2ffdaa0bac630ba,1297570000000000000000
0x2ec8db4c68717b9101578a3760cd70d859587b43,585667900000000000000
0x30040b54554928929e94ed3f0b9282f666e950ed,10891989427490564013763
0x303e62da5454c9932efcbfe5002922f3a98f34a2,875535420969988703437
0x3070f20f86fda706ac380f5060d256028a46ec29,2494214588357686000000
0x3170606add67ee893d23e4aee79c1a4997ce635a,1116956703238944071208
0x3230a79c196958980f058d0dbd5e6a5fd3ea1778,38397845681797952017641
